ano;cod_mun;num_obt
2005;210630;5
2006;210630;7
2007;210630;5
2008;210630;5
2009;210630;3
2010;210630;5
2011;210630;7
2012;210630;3
2013;210630;5
2014;210630;4
2015;210630;2
2016;210630;1
2004;210632;5
2005;210632;3
2006;210632;4
2007;210632;5
2008;210632;3
2009;210632;12
2010;210632;9
2011;210632;9
2012;210632;10
2013;210632;7
2014;210632;4
2015;210632;3
2016;210632;9
2004;210635;12
2005;210635;8
2006;210635;4
2007;210635;3
2008;210635;2
2009;210635;3
2010;210635;4
2011;210635;4
2012;210635;6
2013;210635;1
2014;210635;7
2016;210635;1
2004;210637;7
2005;210637;6
2006;210637;3
2007;210637;5
2008;210637;1
2009;210637;4
2010;210637;4
2011;210637;7
2012;210637;3
2013;210637;6
2014;210637;2
2015;210637;5
2016;210637;4
2005;210640;5
2006;210640;6
2007;210640;5
2008;210640;7
2009;210640;5
2010;210640;5
2011;210640;8
2012;210640;2
2013;210640;9
2014;210640;1
2015;210640;7
2016;210640;8
2004;210650;2
2005;210650;8
2006;210650;3
2007;210650;4
2008;210650;7
2009;210650;5
2010;210650;8
2011;210650;4
2012;210650;3
2013;210650;8
2014;210650;6
2015;210650;5
2016;210650;4
2004;210660;8
2005;210660;13
2006;210660;16
2007;210660;9
2008;210660;9
2009;210660;10
2010;210660;14
2011;210660;13
2012;210660;12
2013;210660;12
2014;210660;8
2015;210660;11
2016;210660;8
2004;210663;3
2005;210663;2
2006;210663;2
2007;210663;2
2008;210663;2
2009;210663;2
2010;210663;1
2012;210663;1
2013;210663;1
2015;210663;1
2016;210663;2
2005;210667;2
2006;210667;1
2007;210667;3
2008;210667;1
2009;210667;1
2010;210667;1
2013;210667;1
2004;210670;8
2005;210670;8
2006;210670;13
2007;210670;5
2008;210670;6
2009;210670;8
2010;210670;6
2011;210670;3
2012;210670;10
2013;210670;3
2014;210670;4
2015;210670;6
2016;210670;3
2004;210675;7
2005;210675;9
2006;210675;9
2007;210675;5
2008;210675;4
2009;210675;7
2010;210675;3
2011;210675;4
2012;210675;7
2013;210675;3
2014;210675;4
2015;210675;6
2016;210675;3
2004;210680;5
2005;210680;4
2006;210680;4
2007;210680;4
2008;210680;5
2009;210680;7
2010;210680;5
2011;210680;6
2012;210680;1
2013;210680;3
2014;210680;3
2015;210680;2
2016;210680;2
2004;210690;8
2005;210690;8
2006;210690;15
2007;210690;10
2008;210690;12
2009;210690;7
2010;210690;8
2011;210690;9
2012;210690;12
2013;210690;7
2014;210690;13
2015;210690;10
2016;210690;13
2004;210700;2
2005;210700;3
2006;210700;3
2007;210700;3
2008;210700;6
2009;210700;4
2010;210700;4
2011;210700;3
2012;210700;1
2013;210700;5
2014;210700;1
2015;210700;2
2016;210700;3
2004;210710;11
2005;210710;11
2006;210710;11
2007;210710;9
2008;210710;5
2009;210710;2
2010;210710;8
2011;210710;7
2012;210710;2
2013;210710;4
2014;210710;5
2015;210710;3
2016;210710;2
2004;210720;10
2005;210720;9
2006;210720;4
2007;210720;1
2008;210720;4
2009;210720;9
2010;210720;6
2011;210720;5
2012;210720;7
2013;210720;3
2014;210720;3
2016;210720;2
2005;210725;3
2006;210725;4
2007;210725;3
2008;210725;5
2009;210725;1
2011;210725;6
2015;210725;1
2016;210725;2
2004;210730;1
2008;210730;1
2009;210730;2
2010;210730;2
2012;210730;2
2013;210730;2
2015;210730;2
2016;210730;1
2004;210735;2
2005;210735;2
2006;210735;3
2007;210735;1
2008;210735;8
2009;210735;3
2010;210735;3
2011;210735;5
2012;210735;1
2013;210735;4
2014;210735;1
2015;210735;5
2016;210735;5
2004;210740;10
2005;210740;5
2006;210740;4
2007;210740;3
2008;210740;4
2009;210740;6
2010;210740;2
2011;210740;2
2012;210740;5
2013;210740;3
2014;210740;2
2015;210740;2
2016;210740;4
2004;210745;3
2005;210745;1
2006;210745;1
2007;210745;2
2008;210745;1
2009;210745;2
2010;210745;3
2011;210745;5
2012;210745;1
2013;210745;2
2014;210745;2
2015;210745;4
2016;210745;1
2004;210750;23
2005;210750;18
2006;210750;26
2007;210750;20
2008;210750;17
2009;210750;28
2010;210750;24
2011;210750;27
2012;210750;27
2013;210750;23
2014;210750;32
2015;210750;24
2016;210750;37
2004;210760;9
2005;210760;8
2006;210760;6
2007;210760;2
2008;210760;5
2009;210760;7
2010;210760;6
2011;210760;6
2013;210760;2
2014;210760;5
2015;210760;7
2016;210760;5
2004;210770;10
2005;210770;11
2006;210770;6
2007;210770;7
2008;210770;1
2009;210770;1
2010;210770;5
2011;210770;3
2012;210770;2
2013;210770;10
2014;210770;5
2015;210770;3
2016;210770;5
2004;210780;18
2005;210780;15
2006;210780;14
2007;210780;15
2008;210780;12
2009;210780;9
2010;210780;6
2011;210780;15
2012;210780;7
2013;210780;8
2014;210780;13
2015;210780;9
2016;210780;11
2004;210790;4
2005;210790;6
2006;210790;4
2007;210790;9
2008;210790;6
2009;210790;7
2010;210790;3
2011;210790;1
2012;210790;3
2013;210790;7
2014;210790;7
2015;210790;3
2016;210790;4
2004;210800;5
2005;210800;5
2006;210800;5
2007;210800;3
2008;210800;5
2009;210800;2
2010;210800;1
2011;210800;4
2012;210800;3
2013;210800;3
2014;210800;3
2015;210800;2
2016;210800;8
2004;210805;8
2005;210805;2
2006;210805;2
2007;210805;2
2008;210805;5
2009;210805;4
2010;210805;4
2011;210805;2
2012;210805;4
2013;210805;3
2014;210805;6
2015;210805;3
2016;210805;4
2004;210810;5
2005;210810;9
2006;210810;2
2007;210810;7
2008;210810;5
2009;210810;14
2010;210810;9
2011;210810;9
2012;210810;8
2013;210810;8
2014;210810;5
2015;210810;14
2016;210810;6
2004;210820;5
2005;210820;10
2006;210820;17
2007;210820;15
2008;210820;21
2009;210820;27
2010;210820;13
2011;210820;9
2012;210820;8
2013;210820;15
2014;210820;11
2015;210820;12
2016;210820;8
2004;210825;15
2005;210825;5
2006;210825;6
2007;210825;8
2008;210825;4
2009;210825;6
2010;210825;7
2011;210825;6
2012;210825;4
2013;210825;7
2014;210825;9
2015;210825;5
2016;210825;3
2004;210830;2
2005;210830;22
2006;210830;16
2007;210830;26
2008;210830;19
2009;210830;16
2010;210830;7
2011;210830;9
2012;210830;13
2013;210830;8
2014;210830;15
2015;210830;19
2016;210830;10
2004;210840;1
2005;210840;1
2006;210840;5
2007;210840;3
2008;210840;1
2009;210840;7
2010;210840;2
2011;210840;5
2012;210840;3
2013;210840;2
2014;210840;1
2015;210840;2
2016;210840;2
2004;210845;9
2005;210845;5
2006;210845;7
2007;210845;7
2008;210845;4
2009;210845;9
2010;210845;4
2011;210845;5
2012;210845;8
2013;210845;9
2014;210845;7
2015;210845;5
2016;210845;6
2004;210850;12
2005;210850;14
2006;210850;8
2007;210850;9
2008;210850;11
2009;210850;4
2010;210850;8
2011;210850;8
2012;210850;8
2013;210850;8
2014;210850;10
2015;210850;5
2016;210850;7
2004;210860;28
2005;210860;36
2006;210860;19
2007;210860;20
2008;210860;24
2009;210860;24
2010;210860;26
2011;210860;31
2012;210860;31
2013;210860;17
2014;210860;25
2015;210860;22
2016;210860;16
2004;210870;2
2005;210870;2
2006;210870;6
2007;210870;3
2008;210870;5
2009;210870;5
2010;210870;7
2011;210870;3
2012;210870;4
2013;210870;2
2014;210870;7
2015;210870;8
2016;210870;4
2004;210880;5
2005;210880;9
2006;210880;12
2007;210880;14
2008;210880;7
2009;210880;8
2010;210880;5
2011;210880;5
2012;210880;4
2013;210880;6
2014;210880;6
2015;210880;9
2016;210880;4
2004;210890;5
2005;210890;5
2006;210890;10
2007;210890;6
2008;210890;6
2009;210890;5
2010;210890;1
2011;210890;4
2012;210890;1
2013;210890;6
2014;210890;3
2015;210890;3
2016;210890;4
2004;210900;8
2005;210900;5
2006;210900;9
2007;210900;11
2008;210900;6
2009;210900;4
2010;210900;5
2011;210900;4
2012;210900;6
2013;210900;4
2014;210900;7
2015;210900;6
2016;210900;9
2004;210905;5
2005;210905;6
2006;210905;3
2007;210905;5
2008;210905;5
2009;210905;2
2010;210905;3
2011;210905;4
2013;210905;1
2014;210905;2
2015;210905;1
2016;210905;1
2004;210910;18
2005;210910;22
2006;210910;14
2007;210910;16
2008;210910;5
2009;210910;7
2010;210910;6
2011;210910;8
2012;210910;11
2013;210910;8
2014;210910;9
2015;210910;9
2016;210910;7
2004;210920;5
2005;210920;3
2006;210920;7
2007;210920;1
2008;210920;3
2009;210920;2
2010;210920;4
2011;210920;3
2012;210920;1
2013;210920;1
2014;210920;6
2015;210920;3
2016;210920;1
2006;210923;1
2007;210923;2
2008;210923;2
2013;210923;2
2014;210923;2
2015;210923;3
2016;210923;1
2004;210927;6
2005;210927;6
2006;210927;10
2007;210927;1
2008;210927;5
2009;210927;4
2010;210927;5
2011;210927;5
2012;210927;4
2013;210927;5
2014;210927;7
2015;210927;3
2016;210927;7
2004;210930;3
2005;210930;4
2006;210930;2
2007;210930;4
2008;210930;3
2009;210930;5
2010;210930;1
2011;210930;4
2012;210930;1
2013;210930;7
2015;210930;4
2016;210930;2
2004;210940;4
2005;210940;5
2006;210940;6
2007;210940;1
2008;210940;2
2009;210940;7
2011;210940;5
2012;210940;5
2013;210940;2
2014;210940;5
2015;210940;2
2016;210940;7
2004;210945;11
2005;210945;14
2006;210945;16
2007;210945;8
2008;210945;11
2009;210945;8
2010;210945;6
2011;210945;8
2012;210945;8
2013;210945;7
2014;210945;9
2015;210945;8
2016;210945;7
2004;210950;1
2005;210950;12
2006;210950;10
2007;210950;12
2008;210950;14
2009;210950;7
2010;210950;7
2011;210950;5
2012;210950;8
2013;210950;6
2014;210950;5
2015;210950;3
2016;210950;7
2004;210955;4
2005;210955;4
2006;210955;3
2007;210955;1
2008;210955;2
2009;210955;1
2010;210955;3
2012;210955;5
2013;210955;3
2015;210955;2
2016;210955;3
2004;210960;17
2005;210960;13
2006;210960;14
2007;210960;19
2008;210960;16
2009;210960;7
2010;210960;10
2011;210960;10
2012;210960;7
2013;210960;8
2014;210960;6
2015;210960;8
2016;210960;10
2004;210970;2
2006;210970;1
2007;210970;1
2008;210970;1
2009;210970;1
2010;210970;1
2011;210970;3
2012;210970;1
2013;210970;2
2014;210970;1
2015;210970;1
2016;210970;1
2004;210975;2
2005;210975;1
2006;210975;4
2007;210975;1
2009;210975;1
2011;210975;2
2014;210975;1
2016;210975;1
2004;210980;5
2005;210980;8
2006;210980;8
2007;210980;6
2008;210980;7
2009;210980;6
2010;210980;5
2011;210980;8
2012;210980;16
2013;210980;11
2014;210980;4
2015;210980;10
2016;210980;5
2004;210990;43
2005;210990;44
2006;210990;28
2007;210990;33
2008;210990;43
2009;210990;27
2010;210990;29
2011;210990;17
2012;210990;33
2013;210990;26
2014;210990;27
2015;210990;14
2016;210990;28
2004;211000;30
2005;211000;42
2006;211000;37
2007;211000;23
2008;211000;32
2009;211000;20
2010;211000;11
2011;211000;23
2012;211000;16
2013;211000;32
2014;211000;19
2015;211000;17
2016;211000;18
2004;211003;11
2005;211003;8
2006;211003;5
2007;211003;3
2008;211003;1
2009;211003;4
2010;211003;3
2011;211003;7
2012;211003;5
2013;211003;2
2014;211003;5
2015;211003;6
2016;211003;4
2004;211010;7
2005;211010;6
2006;211010;11
2007;211010;12
2008;211010;8
2009;211010;6
2010;211010;11
2011;211010;7
2012;211010;6
2013;211010;7
2014;211010;4
2015;211010;5
2016;211010;12
2004;211020;9
2005;211020;11
2006;211020;6
2007;211020;8
2008;211020;7
2009;211020;10
2010;211020;5
2011;211020;8
2012;211020;10
2013;211020;8
2014;211020;7
2015;211020;10
2016;211020;9
2004;211023;3
2005;211023;3
2006;211023;2
2007;211023;1
2008;211023;1
2009;211023;4
2010;211023;1
2011;211023;4
2012;211023;1
2013;211023;3
2015;211023;1
2016;211023;1
2004;211027;8
2005;211027;8
2006;211027;10
2007;211027;3
2008;211027;4
2009;211027;3
2011;211027;3
2013;211027;3
2014;211027;3
2015;211027;2
2016;211027;2
2004;211030;3
2005;211030;4
2006;211030;3
2007;211030;3
2008;211030;4
2009;211030;2
2010;211030;2
2011;211030;5
2012;211030;2
2013;211030;3
2014;211030;2
2015;211030;2
2016;211030;2
2004;211040;16
2005;211040;7
2006;211040;3
2007;211040;5
2008;211040;9
2009;211040;6
2010;211040;6
2011;211040;7
2012;211040;5
2013;211040;4
2014;211040;4
2015;211040;9
2016;211040;5
2004;211050;7
2005;211050;5
2006;211050;13
2007;211050;3
2008;211050;2
2009;211050;5
2010;211050;6
2011;211050;5
2012;211050;4
2013;211050;12
2014;211050;8
2015;211050;9
2016;211050;7
2004;211060;14
2005;211060;15
2006;211060;11
2007;211060;9
2008;211060;11
2009;211060;13
2010;211060;3
2011;211060;5
2012;211060;10
2013;211060;6
2014;211060;4
2015;211060;6
2016;211060;6
2005;211065;3
2007;211065;1
2008;211065;2
2010;211065;4
2011;211065;1
2012;211065;1
2013;211065;2
2014;211065;3
2015;211065;1
2004;211070;10
2005;211070;6
2006;211070;15
2007;211070;14
2008;211070;10
2009;211070;6
2010;211070;5
2011;211070;15
2012;211070;6
2013;211070;8
2014;211070;15
2015;211070;6
2004;211080;1
2005;211080;2
2006;211080;4
2007;211080;3
2008;211080;1
2009;211080;2
2014;211080;2
2004;211085;3
2005;211085;4
2006;211085;2
2007;211085;3
2008;211085;3
2009;211085;1
2011;211085;1
2012;211085;3
2014;211085;4
2015;211085;1
2016;211085;1
2005;211090;5
2006;211090;4
2007;211090;4
2008;211090;1
2009;211090;1
2010;211090;5
2011;211090;3
2013;211090;1
2015;211090;4
2016;211090;2
2004;211100;10
2005;211100;6
2006;211100;4
2007;211100;3
2008;211100;5
2009;211100;6
2010;211100;3
2011;211100;1
2012;211100;1
2013;211100;7
2014;211100;5
2015;211100;1
2016;211100;6
2004;211102;5
2005;211102;7
2006;211102;2
2007;211102;2
2008;211102;2
2010;211102;2
2011;211102;7
2012;211102;3
2013;211102;5
2014;211102;2
2015;211102;5
2004;211105;4
2005;211105;3
2006;211105;2
2007;211105;3
2008;211105;8
2009;211105;1
2010;211105;1
2011;211105;1
2012;211105;3
2013;211105;3
2016;211105;2
2004;211107;6
2005;211107;9
2006;211107;9
2007;211107;14
2008;211107;8
2009;211107;6
2010;211107;6
2011;211107;7
2012;211107;6
2013;211107;8
2014;211107;5
2015;211107;3
2016;211107;6
2004;211110;5
2005;211110;9
2006;211110;6
2007;211110;12
2008;211110;8
2009;211110;8
2010;211110;3
2011;211110;6
2012;211110;4
2013;211110;5
2014;211110;6
2015;211110;7
2016;211110;8
2004;211120;35
2005;211120;46
2006;211120;26
2007;211120;30
2008;211120;24
2009;211120;35
2010;211120;41
2011;211120;32
2012;211120;41
2013;211120;38
2014;211120;57
2015;211120;50
2016;211120;39
2004;211125;4
2005;211125;5
2006;211125;2
2007;211125;2
2008;211125;2
2009;211125;2
2010;211125;1
2011;211125;5
2012;211125;1
2013;211125;4
2014;211125;3
2015;211125;1
2016;211125;4
2004;211130;318
2005;211130;316
2006;211130;296
2007;211130;302
2008;211130;301
2009;211130;276
2010;211130;277
2011;211130;299
2012;211130;275
2013;211130;291
2014;211130;283
2015;211130;297
2016;211130;252
2004;211140;6
2005;211140;6
2006;211140;11
2007;211140;8
2008;211140;7
2009;211140;7
2010;211140;9
2011;211140;5
2012;211140;1
2013;211140;3
2014;211140;6
2015;211140;5
2016;211140;5
2004;211150;8
2005;211150;11
2006;211150;15
2007;211150;11
2008;211150;20
2009;211150;12
2010;211150;8
2011;211150;10
2012;211150;14
2013;211150;14
2014;211150;12
2015;211150;11
2016;211150;13
2004;211153;6
2005;211153;3
2006;211153;6
2007;211153;1
2008;211153;2
2010;211153;2
2011;211153;2
2012;211153;6
2013;211153;5
2014;211153;4
2015;211153;4
2016;211153;2
2004;211157;5
2005;211157;4
2006;211157;2
2009;211157;2
2010;211157;1
2011;211157;3
2012;211157;1
2013;211157;2
2014;211157;2
2015;211157;1
2004;211160;1
2006;211160;6
2007;211160;5
2008;211160;2
2009;211160;6
2010;211160;4
2011;211160;4
2012;211160;4
2013;211160;5
2014;211160;10
2015;211160;12
2016;211160;5
2004;211163;5
2006;211163;1
2007;211163;8
2008;211163;2
2009;211163;2
2012;211163;4
2013;211163;1
2015;211163;3
2004;211167;1
2005;211167;2
2006;211167;5
2007;211167;1
2008;211167;1
2009;211167;2
2012;211167;1
2014;211167;1
2015;211167;2
2016;211167;1
2005;211170;8
2006;211170;5
2007;211170;2
2008;211170;2
2009;211170;10
2010;211170;4
2011;211170;2
2012;211170;3
2013;211170;4
2014;211170;4
2015;211170;3
2016;211170;3
2004;211172;3
2005;211172;2
2006;211172;1
2007;211172;2
2008;211172;5
2009;211172;3
2011;211172;4
2012;211172;1
2013;211172;5
2014;211172;1
2016;211172;1
2004;211174;7
2005;211174;2
2006;211174;3
2007;211174;3
2008;211174;7
2009;211174;6
2010;211174;1
2011;211174;1
2012;211174;4
2013;211174;6
2014;211174;3
2015;211174;1
2016;211174;1
2004;211176;8
2005;211176;5
2006;211176;10
2007;211176;18
2008;211176;8
2009;211176;8
2010;211176;4
2011;211176;6
2012;211176;7
2013;211176;5
2014;211176;7
2015;211176;6
2016;211176;4
2004;211178;7
2005;211178;4
2006;211178;1
2007;211178;1
2008;211178;1
2009;211178;4
2010;211178;5
2011;211178;2
2012;211178;4
2013;211178;2
2014;211178;4
2015;211178;6
2016;211178;7
2004;211180;5
2005;211180;7
2006;211180;7
2007;211180;3
2008;211180;6
2009;211180;5
2010;211180;3
2011;211180;5
2012;211180;2
2013;211180;3
2014;211180;5
2015;211180;9
2016;211180;5
2004;211190;3
2005;211190;2
2007;211190;3
2008;211190;3
2009;211190;2
2010;211190;2
2011;211190;6
2012;211190;2
2013;211190;2
2014;211190;5
2015;211190;5
2004;211195;2
2005;211195;2
2006;211195;1
2007;211195;5
2009;211195;3
2010;211195;2
2011;211195;2
2012;211195;2
2013;211195;1
2014;211195;2
2016;211195;1
2004;211200;1
2006;211200;3
2007;211200;2
2008;211200;3
2009;211200;7
2010;211200;2
2011;211200;2
2012;211200;4
2013;211200;1
2014;211200;1
2015;211200;2
2016;211200;1
2004;211210;3
2005;211210;19
2006;211210;12
2007;211210;6
2008;211210;10
2009;211210;6
2010;211210;12
2011;211210;11
2012;211210;6
2013;211210;6
2014;211210;10
2015;211210;6
2016;211210;11
2004;211220;51
2005;211220;57
2006;211220;69
2007;211220;49
2008;211220;55
2009;211220;44
2010;211220;51
2011;211220;40
2012;211220;44
2013;211220;43
2014;211220;38
2015;211220;61
2016;211220;50
2004;211223;5
2005;211223;4
2006;211223;7
2007;211223;8
2008;211223;3
2009;211223;6
2010;211223;5
2011;211223;7
2012;211223;6
2013;211223;3
2014;211223;3
2015;211223;5
2016;211223;2
2004;211227;3
2005;211227;3
2006;211227;3
2008;211227;3
2009;211227;1
2010;211227;1
2011;211227;2
2012;211227;1
2014;211227;3
2015;211227;1
2016;211227;1
2004;211230;5
2005;211230;12
2006;211230;12
2007;211230;10
2008;211230;10
2009;211230;9
2010;211230;5
2011;211230;11
2012;211230;8
2013;211230;7
2014;211230;4
2015;211230;4
2016;211230;9
2004;211240;4
2005;211240;6
2006;211240;9
2007;211240;3
2008;211240;6
2009;211240;10
2010;211240;7
2011;211240;9
2012;211240;7
2013;211240;10
2014;211240;8
2015;211240;9
2016;211240;8
2004;211245;10
2005;211245;8
2006;211245;2
2007;211245;6
2008;211245;1
2009;211245;6
2010;211245;5
2011;211245;3
2012;211245;3
2013;211245;1
2014;211245;3
2015;211245;4
2016;211245;5
2004;211250;10
2005;211250;28
2006;211250;8
2007;211250;19
2008;211250;22
2009;211250;14
2010;211250;14
2011;211250;19
2012;211250;6
2013;211250;15
2014;211250;9
2015;211250;11
2016;211250;13
2004;211260;8
2005;211260;7
2006;211260;4
2007;211260;11
2008;211260;9
2009;211260;10
2010;211260;9
2011;211260;12
2012;211260;11
2013;211260;17
2014;211260;4
2015;211260;6
2016;211260;7
2004;211270;27
2005;211270;20
2006;211270;11
2007;211270;13
2008;211270;14
2009;211270;22
2010;211270;18
2011;211270;15
2012;211270;21
2013;211270;10
2014;211270;16
2015;211270;20
2016;211270;17
2004;211280;13
2005;211280;20
2006;211280;13
2007;211280;23
2008;211280;16
2009;211280;10
2010;211280;19
2011;211280;23
2012;211280;9
2013;211280;17
2014;211280;19
2015;211280;21
2016;211280;10
2004;211285;8
2005;211285;7
2006;211285;4
2007;211285;2
2008;211285;1
2009;211285;1
2010;211285;3
2012;211285;2
2013;211285;1
2014;211285;2
2015;211285;2
2004;211290;19
2005;211290;14
2006;211290;11
2007;211290;9
2008;211290;15
2009;211290;14
2010;211290;15
2011;211290;8
2012;211290;10
2013;211290;10
2014;211290;5
2015;211290;8
2016;211290;6
2004;211300;2
2005;211300;12
2006;211300;8
2007;211300;8
2008;211300;6
2009;211300;8
2010;211300;8
2011;211300;4
2012;211300;7
2013;211300;3
2014;211300;5
2015;211300;6
2016;211300;4
2004;211400;13
2005;211400;20
2006;211400;19
2007;211400;13
2008;211400;8
2009;211400;12
2010;211400;16
2011;211400;10
2012;211400;10
2013;211400;19
2014;211400;14
2015;211400;15
2016;211400;15
